gene_name,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
DLX6,0.407642588,0.390751814,0.091781801,0.105218218,0.310596263,0.196430644,0.156301851,0.110736341,0.226184453,0.09814703,0.120582265,0.092546971
MAP3K9,16.10000626,15.65026319,15.85281264,17.38343264,17.47921053,17.0732977,17.56319962,18.38749852,16.41955596,14.44079109,16.78594008,16.44830761
RALA,79.18232317,63.47055738,69.26281951,70.89514766,72.64906477,70.71448304,73.04338376,70.77596122,66.40336953,65.28038963,66.79689757,67.70228563
BAIAP2L1,68.80365949,61.28971787,64.66742763,67.44278274,70.65297249,67.3054058,62.71421306,64.25372246,66.53659129,60.45559825,62.59954108,61.63539985
KDM7A,10.06300806,6.423519403,8.799866451,9.585651205,12.20840708,12.62775907,9.33031884,9.234109583,9.610588188,10.49177937,11.71623598,11.8989668
ETV1,0.262900851,0.10500312,0.295964092,0.30159273,0.148379841,0.175949966,0.252009303,0.039676203,0.135067679,0.281324197,0.108009855,0.198954331
AGK,9.032234792,7.582026265,7.685235045,8.2681434,8.569102259,7.876002089,6.971739088,7.703199591,7.187211698,6.195273224,6.232836049,6.259054538
ALDH3B1,10.34277713,13.6117386,11.50035941,11.8710319,11.68079764,10.31498045,10.8894693,10.13306041,13.52378897,11.1242682,11.34748992,8.901674991
TTC22,3.125326545,3.909995907,3.570118317,3.143719259,4.260639353,3.543530389,3.700755171,3.870426291,3.78275701,4.094358107,2.9569885,3.078159819
PHTF2,18.54896359,13.77901803,16.71270591,17.4404734,18.35730729,15.81009958,15.88101651,17.69328759,15.98185268,14.74322549,14.29369139,14.60264043
CCL26,2.784787819,3.81342776,2.687152733,4.107385406,1.515586582,3.354762736,3.050764178,3.78244598,1.471587235,2.394592909,4.118755399,1.806370063
FARP2,10.63189508,9.858829234,11.22093351,11.19892021,11.88810746,11.93684189,10.86586629,11.20223959,10.86221024,12.35204038,11.66350855,13.48863574
USH1C,79.15099036,82.14363678,80.9168684,75.91020283,77.67566662,81.69015352,77.46399745,73.04567826,83.7359844,65.2239451,64.03891959,62.80266913
GGCT,62.55165542,59.11530737,62.08716401,55.94057935,59.74301586,62.40616352,64.01389383,63.182238,61.43045824,62.99912552,63.9787634,59.20451542
DBF4,4.339818879,2.563378671,3.715814682,3.470941792,3.337698763,3.681738678,3.574108,2.324619684,2.93933137,2.722592208,2.395703241,2.844787152
TBXA2R,0.703924168,1.68689223,0.792451892,0.778682625,1.149306259,0.96914224,1.156734431,0.819520289,0.836955361,0.60529273,1.636041861,1.027360847
IFRD1,35.11762773,28.81879722,30.72052011,35.26643384,38.47732163,34.95969256,29.94650886,27.24904961,30.24790174,32.8510421,34.15324587,38.88101417
LGALS14,0.310692193,0,0.349765824,0.801939739,1.183632884,0.374282947,1.191282915,1.687994224,1.436588203,5.610340466,2.986878718,2.46877236
COX10,7.607819857,6.97378626,8.28379662,7.189444364,7.390989626,7.362005968,6.216677093,7.792356994,6.920119371,4.904591303,4.457804599,6.984310064
GTF2IRD1,10.80585345,13.51733379,13.38131484,14.28040183,13.00866821,10.83058959,13.96283308,11.74166496,12.23129501,14.98577369,12.8815465,13.98352264
PAF1,68.98456844,74.03769996,74.11010094,75.54778831,65.20142106,76.45563131,70.66105058,69.87229985,73.27265201,65.25055626,65.5175273,62.64618142
VPS41,17.64468741,15.75879837,19.49664728,17.7217096,18.54195318,18.02622381,17.57357443,13.77918917,16.85329966,14.5243551,16.98705764,17.19150724
ARHGAP44,0.843621626,0.469315061,0.474859072,0.466608147,0.68869607,0.326664456,0.606503831,0.450155937,0.640839775,0.580333008,0.44561886,0.20520767
ELAC2,35.17841424,37.58502854,34.13858305,34.06308333,33.4662816,34.79195728,33.9517332,31.21849129,35.72192897,26.89672964,30.10832549,26.18165978
SCIN,13.98772279,13.48918888,12.89121422,13.71837049,13.59056793,14.66792529,13.36191937,14.27375814,13.76198612,9.800900295,9.504384125,11.46297645
ARSD,21.62658225,21.12324721,20.02615936,20.01721943,20.66095833,19.21468289,18.89131224,18.18930297,19.62985526,15.59205125,15.43138917,16.10911361
PNPLA4,8.316458527,8.090257984,9.640452568,10.73296774,9.619894426,8.729099102,8.761220521,7.045928396,9.746730819,10.60641088,8.22043341,8.225312173
MYH13,0,0,0,0.118456458,0.058279092,0,0,0,0,0,0,0
ADIPOR2,83.18558361,68.738327,71.41485123,72.48291967,78.35564434,80.13442195,71.93624498,74.38696137,70.82470997,80.89050655,76.01407942,78.46216664
CDKL3,2.854145371,3.526724355,2.309409658,2.302170607,3.284653295,2.47128963,3.248884621,3.755505726,2.804380756,2.791689263,2.572376971,2.227416626
UPP2,0.094983342,0.341428813,0.534643735,0.122582605,0.120618208,0.114424006,0.364193356,0.129011395,0,0,0.070241106,0
PRSS21,0.999522217,0.171090493,1.768211161,1.842789843,1.813258985,1.032084752,1.505607181,1.163660482,1.848648734,1.890839708,2.006281681,0.162086587
MARK4,14.13612138,15.97732271,14.86883104,14.54045906,15.6470956,17.53776527,15.28980121,16.04811816,14.24328856,13.25847527,15.35304264,15.08859068
PROM1,147.1957135,119.6025652,130.4904115,116.4860082,121.7200462,123.4797406,120.237207,131.4214992,125.1857724,114.5248042,103.9632338,117.5541365
CCDC124,60.53578324,76.18131242,67.00679309,72.01525075,62.91615676,71.09257844,72.12963439,65.45677782,71.61872207,62.08641675,64.14907512,61.80700169
CEACAM21,0.426199913,0,0,0,0.541226164,0.342288098,0.136181051,0,0,0.342050095,0,0.322533451
PAFAH1B1,61.54510318,47.49733541,56.74385567,52.56993557,56.71798652,51.74695135,50.150996,55.0020359,52.39577489,46.19842445,52.69018767,57.3332935
NOS2,7.406325569,9.027308474,8.122136498,7.00398381,6.810665049,6.999320843,6.671075999,4.422782774,6.49485478,4.534865789,5.146538222,2.10181977
DNAH9,0,0.03973024,0,0,0,0,0.031784421,0,0.015331748,0,0,0
KIAA0100,157.9261343,155.5453687,156.0049533,148.8070763,149.1268028,153.599689,143.4512639,154.462442,151.755999,134.0819514,128.2169754,130.2648744
