,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000139624,10.13057601,9.063415796,11.13715051,17.69303783,17.61978235,19.88031175,29.76609399,34.85782171,31.97454637,13.27297534,18.80004363,16.68511714
ENSG00000139625,9.004956455,11.32926974,8.909720406,1.105814865,1.101236397,2.208923528,6.697371147,5.191590467,8.179535118,2.041996206,3.133340605,3.128459464
ENSG00000139626,3.376858671,3.398780923,2.227430102,15.4814081,16.51854595,12.1490794,5.953218797,7.41655781,5.205158712,11.23097914,9.400021816,8.342558572
ENSG00000139629,57.4065974,58.91220267,62.36804284,12.16396351,12.11360037,12.1490794,17.11550404,15.5747714,12.64109973,16.33596965,20.88893737,16.68511714
ENSG00000139631,9.004956455,10.19634277,11.13715051,23.22211216,20.92349154,20.98477351,10.4181329,19.28305031,11.15391152,22.46195827,30.28895918,22.94203607
ENSG00000139636,14.63305424,13.59512369,16.70572576,25.43374189,29.73338272,29.82046762,33.48685573,34.85782171,30.48735817,32.6719393,30.28895918,42.75561268
ENSG00000139637,25.88924981,27.19024739,30.07030637,36.49189053,39.64451029,40.86508526,11.16228524,8.158213592,10.41031742,27.56694879,38.64453413,33.37023429
ENSG00000139641,64.16031474,64.57683754,72.3914783,122.74545,109.0224033,113.7595617,124.2734424,129.0481059,123.4366209,85.76384067,92.95577129,100.1107029
ENSG00000139644,401.8461818,395.3915141,392.0276979,280.8769756,254.3856077,259.5485145,285.7545023,297.4039682,296.6940466,233.8085656,251.7116953,261.7477752
ENSG00000139645,47.27602139,50.98171385,52.34460739,91.78263376,92.50385734,100.5060205,145.1097082,146.8478446,144.2572557,100.0578141,87.73353695,101.1535227
ENSG00000139651,12.38181513,14.72805067,14.47829566,7.740704052,12.11360037,11.04461764,11.16228524,12.60814828,17.10266434,9.188982929,7.311128079,7.29973875
ENSG00000139668,15.7586738,15.86097764,15.59201071,16.58722297,15.41730956,18.77584999,9.673980546,14.09145984,13.38469383,16.33596965,18.80004363,18.77075679
ENSG00000139675,3.376858671,3.398780923,4.454860203,2.211629729,0,3.313385292,4.464914098,2.224967343,2.974376407,3.06299431,1.044446868,2.085639643
ENSG00000139679,23.63801069,23.79146646,23.38801607,192.4117864,216.9435702,198.8031175,25.30117989,26.69960812,39.41048739,139.8767401,138.9114335,153.2945138
ENSG00000139684,103.5569992,104.2292816,101.3480696,37.5977054,39.64451029,26.50708233,69.20616852,62.29908561,68.41065735,42.88192033,38.64453413,45.88407214
ENSG00000139687,37.14544538,33.98780923,31.18402142,21.01048243,22.02472794,17.67138822,20.09211344,20.02470609,16.35907024,24.50395448,17.75559676,19.81357661
ENSG00000139697,24.76363025,26.05732041,25.61544617,87.35937431,85.89643896,83.93909405,49.11405508,47.46596999,49.82080481,74.53286153,64.75570584,76.12584697
ENSG00000139714,2.251239114,3.398780923,3.341145152,1.105814865,1.101236397,2.208923528,0.74415235,0,0.743594102,2.041996206,0,2.085639643
ENSG00000139718,11.25619557,11.32926974,13.36458061,37.5977054,37.44203749,39.7606235,34.97516043,46.72431421,39.41048739,25.52495258,21.93338424,30.24177482
ENSG00000139719,21.38677158,21.52561251,23.38801607,13.26977838,15.41730956,13.25354117,11.16228524,11.8664925,11.89750563,11.23097914,11.48891555,14.5994775
ENSG00000139722,37.14544538,40.78537108,40.09374183,86.25355944,84.79520256,89.46140287,55.06727387,63.78239717,55.76955762,82.70084636,74.15572766,81.33994607
ENSG00000139725,3.376858671,3.398780923,3.341145152,2.211629729,2.202472794,4.417847055,7.441523497,9.641525154,6.692346915,4.083992413,4.177787474,5.214099107
ENSG00000139726,78.79336898,80.43781519,75.73262345,85.14774458,78.18778418,77.31232347,97.48395781,105.3151209,104.1031742,86.78483877,94.00021816,87.596865
ENSG00000139734,6.753717341,6.797561847,7.796005355,6.634889188,8.809891175,5.522308819,1.488304699,1.483311562,1.487188203,7.146986722,7.311128079,5.214099107
ENSG00000139746,19.13553247,19.25975857,17.81944081,33.17444594,40.74574669,33.13385292,34.97516043,30.40788702,35.69251688,27.56694879,28.20006545,22.94203607
ENSG00000139793,32.64296715,30.58902831,30.07030637,4.423259459,7.708654778,4.417847055,8.929828196,8.158213592,8.92312922,12.25197724,9.400021816,10.42819821
ENSG00000139826,15.7586738,18.12683159,16.70572576,8.846518917,7.708654778,12.1490794,12.65058994,12.60814828,11.89750563,13.27297534,9.400021816,8.342558572
ENSG00000139832,4.502478227,2.265853949,2.227430102,0,1.101236397,4.417847055,0.74415235,1.483311562,5.205158712,1.020998103,3.133340605,0
ENSG00000139835,9.004956455,10.19634277,10.02343546,4.423259459,4.404945588,4.417847055,10.4181329,8.899869373,10.41031742,2.041996206,7.311128079,5.214099107
ENSG00000139842,48.40164095,48.7158599,49.00346223,63.03144728,57.26429264,64.0587823,69.20616852,59.33246248,67.66706325,49.00790895,52.22234342,51.09817125
ENSG00000139874,0,0,0,0,1.101236397,1.104461764,0,0,0,1.020998103,2.088893737,2.085639643
ENSG00000139880,4.502478227,4.531707898,4.454860203,17.69303783,15.41730956,22.08923528,7.441523497,5.933246248,7.435941016,14.29397344,15.66670303,17.72793696
ENSG00000139890,0,0,0,15.4814081,12.11360037,17.67138822,1.488304699,1.483311562,3.717970508,9.188982929,7.311128079,6.256918929
