"","res.df"
"202","TRIM11"
"203","SHTN1"
"204","MFHAS1"
"205","WNT7B"
"206","SH2B3"
"207","ZNF224"
"208",NA
"209","PCK2"
"210","ZNF587"
"211","CDC42SE2"
"212","MIR4453HG"
"213","LIMD1"
"214",NA
"215","MTHFD2"
"216","LOC644656"
"217","MID2"
"218","PLEKHA2"
"219",NA
"220","CDC73"
"221","FLVCR1"
"222","MYL5"
"223","LRP1"
"224","ALDH1L2"
"225","VAV2"
"226","IL27RA"
"227","PLEKHA8"
"228","SDC3"
"229","NEIL1"
"230","WTIP"
"231","TDRD7"
"232","ZNF275"
"233","TNRC18"
"234","KLF8"
"235","ANKRD13B"
"236","IMPA1"
"237","ADCY3"
"238","DGCR8"
"239","PRR36"
"240","GALNT4"
"241",NA
"242",NA
"243","KLHL42"
"244","PITPNM1"
"245","TRAF2"
"246","UPRT"
"247","TRIM16L"
"248","RASGEF1A"
"249","PXK"
"250","CARD11"
"251","ECHDC3"
"252","TMEM200B"
"253","DCAF4"
"254","KIF12"
"255","FRS3"
"256","LINC02381"
"257","PEAR1"
"258","ABHD17A"
"259","C19orf12"
"260","NBR2"
"261","EBLN3P"
"262","DYNC2I1"
"263","LARP1B"
"264","MTHFD1L"
"265","SCIRT"
"266","MIEF2"
"267","EPOR"
"268","PAXIP1-DT"
"269","SMAD4"
"270","CAPRIN2"
"271",NA
"272","SYNC"
"273","PRSS21"
"274","LTBP3"
"275","MRC2"
"276","SCMH1"
"277","KATNAL1"
"278","ANO1"
"279","ULK2"
"280","SPRY4"
"281","NINL"
"282","SPEG"
"283","ZFP28"
"284","VLDLR"
"285","RGS19"
"286","WHAMM"
"287","UCHL1"
"288","LPCAT1"
"289",NA
"290","ZNF528-AS1"
"291","ACE"
"292","CDKL2"
"293","USP35"
"294","GDPD5"
"295","DOCK11"
"296","TANC2"
"297","MEX3D"
"298","MNT"
"299","PHETA2"
"300","SHLD2"
"301","RENBP"
"302","TRAF5"
"303","CGRRF1"
"304","STBD1"
"305","CLCC1"
"306","TACC1"
"307","BCORL1"
"308","PTPN9"
"309","SPANXN5"
"310",NA
"311","ZDBF2"
"312","HOXC-AS2"
"313","ADCY4"
"314","LOC122526780"
"315","CFL2"
"316","ZNF397"
"317","ACADS"
"318","CBS"
"319","CUEDC1"
"320","UST"
"321","CHD7"
"322","PTPDC1"
"323",NA
"324",NA
"325","BIK"
"326","CCDC57"
"327","RPA4"
"328","SEC24D"
"329","SLFN12L"
"330","TLNRD1"
"331","SLC37A1"
"332","CCDC88A"
"333","SPHK2"
"334","CORO7"
"335","SEMA3B"
"336","RAB11FIP2"
"337","L3MBTL1"
"338","MLLT6"
"339","TNFRSF18"
"340","HELZ2"
"341","ABCD1"
"342",NA
"343","CEP164"
"344","MUS81"
"345",NA
"346","HOXB2"
"347","DZIP1L"
"348","MAN1A1"
"349","TTC9"
"350","BCOR"
"351",NA
"352","SPATA20"
"353",NA
"354","PPM1M"
"355",NA
"356","HSPG2"
"357","DDHD2"
"358","TRIM56"
"359","LINC00571"
"360",NA
"361",NA
"362","CDS2"
"363","SYNPO"
"364","SMIM24"
"365","GOLT1A"
"366","DENND3"
"367","PKN1"
"368","SRMS"
"369","RAB17"
"370","FKRP"
"371","NOXA1"
"372",NA
"373","EML5"
"374","ZNF284"
"375","ANKRD36"
"376","SHLD3"
"377","SLC16A1-AS1"
"378","SNX25"
"379","ZNF354B"
"380","RASSF3"
"381","TNK1"
"382","EID2B"
"383",NA
"384","ZNF805"
"385","ZKSCAN2"
"386","MTRFR"
"387",NA
"388","IQSEC1"
"389","APH1B"
"390","LYG1"
"391","CCDC149"
"392","TNS1"
"393","ARFGEF3"
"394","SLC1A4"
"395","PDE8A"
"396","RSKR"
