,X,baseMean,log2FoldChange,lfcSE,pvalue,padj
606,ENSG00000124614,29.04561066,-1.567035363,0.398891923,2.51E-05,0.000148883
1183,ENSG00000164346,33.87279165,-1.367465959,0.347953127,3.08E-05,0.000179878
838,ENSG00000138180,6.649574025,-5.160597801,1.500167625,3.15E-05,0.000183093
125,ENSG00000073737,63.39949193,-1.18783787,0.302850911,3.97E-05,0.000225609
439,ENSG00000111678,55.10282053,-1.225694921,0.316615874,4.66E-05,0.000262771
69,ENSG00000060762,39.85625344,-1.363504311,0.356400547,4.72E-05,0.000265506
689,ENSG00000130598,6.973131678,-4.967354523,1.487120146,4.84E-05,0.000271539
877,ENSG00000141582,37.57683305,-1.274258813,0.333734724,5.39E-05,0.000299893
215,ENSG00000094880,34.94339841,-1.342356163,0.354952142,5.79E-05,0.000320681
800,ENSG00000137100,41.01789996,-1.250277975,0.331006944,6.55E-05,0.000357431
539,ENSG00000118515,42.69631102,-1.289630285,0.342110691,6.55E-05,0.000357512
130,ENSG00000074695,58.9002278,-1.068518332,0.279682081,6.79E-05,0.000368461
146,ENSG00000078401,11.3966794,-2.600547604,0.750714802,7.40E-05,0.000398313
938,ENSG00000145386,10.4317011,-2.514501424,0.72873937,7.76E-05,0.000415962
634,ENSG00000125991,75.95922563,-1.023515305,0.272044565,9.07E-05,0.000480082
194,ENSG00000089685,5.117626584,-4.82778078,1.531704131,9.38E-05,0.000493689
621,ENSG00000125657,35.48663029,-1.39737703,0.390065206,0.000118427,0.000607546
969,ENSG00000147669,74.18899078,-1.016799002,0.275692579,0.000121167,0.000619781
344,ENSG00000105880,17.86386809,-1.977683911,0.583617933,0.000130952,0.000664633
271,ENSG00000101057,9.95519569,-2.627598643,0.797162791,0.000131619,0.000667528
113,ENSG00000071553,51.3506581,-1.045449619,0.286416424,0.000136304,0.000689012
878,ENSG00000141741,59.15011126,-1.055515865,0.296507995,0.000190163,0.000931575
982,ENSG00000148358,40.37315,-1.086831661,0.307505743,0.000201718,0.000981214
306,ENSG00000103888,9.15591953,-2.552323128,0.804426471,0.000217592,0.001046991
540,ENSG00000118520,21.6693362,-1.909387625,0.587082162,0.000233911,0.001118493
402,ENSG00000109452,7.436930037,-2.59563884,0.839846794,0.000266206,0.001256804
513,ENSG00000116991,18.72408277,-1.718076971,0.525123557,0.000266967,0.001259536
1022,ENSG00000152556,22.11861069,-1.413282314,0.424357319,0.0002905,0.001359619
450,ENSG00000112312,9.363262648,-2.486087765,0.817352083,0.00029979,0.001397864
845,ENSG00000139044,40.26939907,-1.067461541,0.315651957,0.000364569,0.001664811
759,ENSG00000135114,20.65952701,-1.756696805,0.554537608,0.000372515,0.001698287
300,ENSG00000103485,5.190590991,-4.054029095,1.358061972,0.000391194,0.001775815
694,ENSG00000131069,31.67553872,-1.212451338,0.368089695,0.000417709,0.001885019
992,ENSG00000149043,5.317535655,-3.420697266,1.174428491,0.000451934,0.002025558
321,ENSG00000105088,45.67600547,-1.116971634,0.338272609,0.000456246,0.002040907
626,ENSG00000125780,5.642779647,-3.110713324,1.08431976,0.000490372,0.002176627
468,ENSG00000114115,2.603662116,-5.622330943,2.937255868,0.000532003,0.002338789
771,ENSG00000135972,46.40245266,-1.026417912,0.313026508,0.000546378,0.002396699
853,ENSG00000139637,27.45531859,-1.354737675,0.427316591,0.000548468,0.002402048
1126,ENSG00000161999,18.31779415,-1.595740804,0.521232408,0.000583036,0.002536535
718,ENSG00000132423,25.45500208,-1.406654418,0.450566373,0.000597987,0.002596671
827,ENSG00000137965,21.71894993,-1.889240071,0.636728507,0.000614672,0.002659918
176,ENSG00000087586,9.502013798,-2.157863191,0.749647868,0.000643114,0.002767374
761,ENSG00000135318,17.80192981,-1.549835425,0.508462595,0.000653052,0.002805765
507,ENSG00000116701,8.075092492,-2.555593866,0.920637915,0.000663268,0.002845228
1145,ENSG00000163071,6.230823707,-2.607111824,0.948102771,0.000769191,0.003236231
776,ENSG00000136153,13.16240127,-1.657564928,0.570366366,0.000914342,0.003764297
112,ENSG00000071539,10.30122582,-1.921303468,0.699779039,0.00111945,0.004513118
957,ENSG00000146670,6.344807107,-2.598041784,0.989757931,0.001163653,0.00467086
930,ENSG00000144824,20.08190861,-1.286264995,0.441916796,0.001363645,0.005381269
848,ENSG00000139343,37.58237968,-1.013021811,0.338921847,0.001471908,0.005760729
408,ENSG00000109805,4.961495037,-3.081687148,1.242812037,0.001492362,0.005832509
162,ENSG00000084110,5.952542455,-2.762783764,1.113718607,0.001581698,0.006133024
287,ENSG00000102886,39.1326598,-1.019454547,0.345516874,0.001656157,0.006389424
418,ENSG00000110442,9.230089437,-1.905964913,0.72895666,0.001669734,0.006438203
181,ENSG00000088325,28.99101526,-1.131678158,0.39190455,0.001758984,0.0067409
544,ENSG00000119280,23.45835134,-1.183480534,0.414043022,0.001817612,0.006925853
175,ENSG00000087510,24.93151474,-1.18423657,0.417416674,0.001931253,0.007291735
85,ENSG00000065268,32.61437571,-1.002897795,0.344912654,0.001934309,0.00729928
403,ENSG00000109458,14.71002964,-1.4096689,0.514183126,0.001953451,0.007365471
528,ENSG00000117724,7.181893626,-2.275729701,0.912961666,0.001958989,0.007382318
837,ENSG00000138160,4.38417337,-2.72901755,1.143701486,0.001965174,0.007399562
906,ENSG00000143375,8.640646775,-1.904031781,0.742996777,0.001989105,0.00746726
512,ENSG00000116990,6.96386619,-2.084860976,0.84449967,0.00211412,0.007868084
425,ENSG00000111206,4.129521227,-2.905928005,1.229209408,0.002152724,0.007994509
143,ENSG00000077942,4.043888482,-2.999521972,1.314546172,0.002289797,0.008451244
786,ENSG00000136542,2.034931995,-4.762696249,3.075735156,0.002321949,0.008563042
1184,ENSG00000164393,2.271740875,-4.420363453,2.871188891,0.002480925,0.009078961
895,ENSG00000143036,6.399987595,-2.149740043,0.904384112,0.002590171,0.00943123
646,ENSG00000126787,4.571471887,-2.765225513,1.263012771,0.002750178,0.009943008
591,ENSG00000123485,3.014720898,-3.64232181,1.878959808,0.002763593,0.009981049
345,ENSG00000105928,19.7535887,-1.223861174,0.4535156,0.002796864,0.010090299
550,ENSG00000119681,10.17980503,-1.683930865,0.671168797,0.002797499,0.010090299
57,ENSG00000052795,25.76014731,-1.063407667,0.385810718,0.002873481,0.010329262
1001,ENSG00000149823,27.58232357,-1.037365547,0.376190039,0.002924269,0.010484519
908,ENSG00000143387,45.07756534,-1.027247036,0.371951574,0.002939649,0.010531453
755,ENSG00000134827,4.587839452,-3.180277473,1.430292913,0.003082482,0.010988955
1010,ENSG00000151136,4.7075448,-2.395643083,1.066840278,0.003144549,0.011172704
1073,ENSG00000157456,10.98943048,-1.603112433,0.646234191,0.003248728,0.011507303
79,ENSG00000064270,5.650602059,-2.355999272,1.048151318,0.003269768,0.01156995
790,ENSG00000136697,6.967065342,-2.238672501,0.999750307,0.003469962,0.012184599
1138,ENSG00000162757,23.97737549,-1.054294879,0.39250872,0.003568172,0.012491318
839,ENSG00000138311,19.8053263,-1.332327732,0.520320155,0.003622035,0.012641396
109,ENSG00000070759,10.70623641,-1.716306795,0.723211673,0.003879133,0.01341655
1084,ENSG00000158125,19.12944806,-1.289665508,0.504379545,0.00388895,0.013442894
733,ENSG00000133401,11.8405844,-1.477018252,0.598079848,0.003911218,0.013510591
881,ENSG00000142188,18.8830365,-1.281697466,0.503967803,0.0040019,0.013782436
118,ENSG00000072501,21.74709066,-1.119516728,0.42917116,0.004126311,0.014150868
383,ENSG00000108309,8.092974447,-1.760027929,0.757668756,0.004181145,0.014335353
1069,ENSG00000157216,12.08309683,-1.395013855,0.566751081,0.004358058,0.014857014
172,ENSG00000087111,13.83769918,-1.356733142,0.549941792,0.004546973,0.015387009
456,ENSG00000112984,4.409883332,-2.786504036,1.444564259,0.004751444,0.016008925
122,ENSG00000073050,15.77891783,-1.282590157,0.520198894,0.004995305,0.016711567
307,ENSG00000104055,2.704726593,-3.147235824,1.806719042,0.005017198,0.016772609
815,ENSG00000137628,5.108930613,-2.117877531,1.000009917,0.005029192,0.01679912
923,ENSG00000144045,7.147684244,-1.810863888,0.831532494,0.00540046,0.017820744
1067,ENSG00000156970,3.920253681,-2.431458242,1.235161018,0.005424073,0.017890106
1015,ENSG00000151779,15.68966242,-1.196777922,0.490634777,0.005933556,0.01929839
49,ENSG00000049130,8.340874234,-1.676600062,0.76115826,0.006016627,0.019508799
601,ENSG00000124370,9.79929016,-1.922533962,0.942702912,0.006073065,0.019673309
242,ENSG00000100234,8.724936778,-1.66846169,0.757035743,0.006143482,0.019859463
522,ENSG00000117528,20.26802768,-1.132374803,0.465416927,0.006550332,0.020997579
206,ENSG00000091947,16.16693092,-1.140017316,0.475072341,0.007086764,0.022471817
526,ENSG00000117632,16.57005533,-1.190750809,0.506383835,0.007519296,0.023615449
691,ENSG00000130748,13.96691002,-1.681495596,0.819162885,0.007685051,0.024043008
120,ENSG00000072571,4.846554955,-2.168856182,1.136547386,0.007864228,0.024509112
202,ENSG00000090889,3.555396642,-2.267898968,1.247919104,0.007992782,0.024842432
239,ENSG00000100142,10.32494926,-1.359421471,0.610122551,0.00815861,0.025278135
288,ENSG00000102891,3.788532275,-3.622877963,3.626916923,0.0082036,0.025377645
583,ENSG00000122644,21.4725175,-1.073056787,0.452385912,0.008354951,0.025788041
34,ENSG00000026297,2.887806832,-2.750830531,1.651989317,0.008474795,0.026122889
