"","GSM6765254","GSM6765268","GSM6765281","GSM6765294","GSM6765307","GSM6765321","GSM6765335","GSM6765349","GSM6765363","GSM6765379","GSM6765393","GSM6765408"
"HMMR",0.828451233625726,0.842424171537657,0.501459466411264,1.39472235303437,0.481007044076207,1.39139576966449,-0.917357930801849,-1.12131661597123,-1.12078713375949,-0.487207140233617,-1.03860455337468,-0.75418666420884
"XRCC1",0.704908948634524,0.903767258431882,1.02151149080653,-0.0467885569190093,1.15545029668951,1.3397981768658,-1.31119964417906,-1.31512593067006,-1.19513453600557,-0.233533220870181,-0.346162436627356,-0.677491846157002
"SCARB1",1.21608391956147,1.23970262182317,1.37758999819731,-1.03213950403029,-0.246924155206196,-1.03384028261864,-1.08586160208225,-0.690820205106187,-1.22038684778067,0.511261937851382,0.578630854183384,0.386703265207515
"DHRS9",-0.374842748433977,-0.510173510727511,-0.284735347507234,0.808510546039451,1.2584703802007,0.805018933650706,-1.22888610606811,-1.32731445331806,-1.4933346159827,1.0507064255416,0.953357225058045,0.34322327154709
"LMAN1",1.04448159132256,1.26169748936212,1.18471406701928,0.660716201009168,-0.21362151715475,0.963233471542758,-1.49717723563652,-1.2142206940196,-1.00190822991465,-0.266432425439334,-0.0810122769985994,-0.840470441092437
"SEMA3C",1.48158659466858,1.63564899700697,1.44261365847494,-0.298087861609739,-0.305976795220864,-0.427288923221244,-0.963991252955933,-1.09594065463186,-1.22117119889443,0.0835380840842261,-0.163876682328806,-0.167053965371828
"WDR62",1.53723939693258,0.79615390840926,0.744210058818245,0.722850090517855,0.338290450064938,-0.400620626651508,-1.76397774565644,-1.26435605744505,-1.26173570991165,0.148465621012362,-0.149047904201943,0.552528518111349
"REXO2",1.38067893189781,1.60850956337747,1.69378388753548,-0.145369939860186,-0.469077946082285,-0.423287564923592,-0.742873176609919,-1.17121092231141,-0.929348676052146,-0.63163701491719,-0.1757798301792,0.00561268812516856
"FBLN1",1.49027463955122,1.78376479516645,1.46404216895448,-0.990112342584161,-0.181226721478631,-0.449275853486265,-0.807912850800518,-0.808524114787595,-0.808049533167232,0.00981911286438847,-0.4786641459561,-0.224135154276038
"EDN1",1.15267817822061,0.833689347841734,1.28841921529372,0.937823073651396,0.106783155968116,0.112067648502469,-1.36498251496852,-1.25563075357839,-1.36523196290256,-0.937127558326235,0.48043966075283,0.0110725095448437
"NDC80",1.35243354821655,1.36862652375864,1.32605358926387,-0.733491372469712,-0.735182325875751,-1.14189905893162,-0.592227410956942,-0.867985286042875,-1.14189905893162,0.366431084027287,0.0153293600754039,0.78381040786676
