"","deseq_results_IIa_0.05$padj"
"163",0.842017867331303
"164",2.12519232855034e-12
"165",1.87332592505296e-10
"166",0.482377401695819
"167",0.0261050677123692
"168",0.00153893814176476
"169",0.472754099193202
"170",0.829185752232883
"171",0.154067395638968
"172",0.152072142446923
"173",0.499567392058572
"174",0.301115509572203
"175",0.513071736536001
"176",0.26713700127873
"177",0.866384034574503
"178",0.0586245325013139
"179",NA
"180",0.0231719680866639
"181",0.291116892380985
"182",NA
"183",0.17796685836872
"184",0.062166519828965
"185",0.208702838042785
"186",2.13451881838384e-40
"187",0.00110653760700758
"188",0.37511582480704
"189",5.13391622562785e-21
"190",NA
"191",0.499976899745357
"192",NA
"193",0.00258596707012163
"194",0.723222035612266
"195",8.35919966533389e-10
"196",0.284667270834369
"197",0.0299024963867548
"198",0.971938702522666
"199",4.42581234148281e-08
"200",0.845711486864695
"201",0.974815053970345
"202",NA
"203",0.316238152898606
"204",0.0709503592210248
"205",7.61381988133476e-05
"206",0.000813080083796344
"207",0.131497725702404
"208",0.00411273443389265
"209",3.2226619616264e-05
"210",0.753424264945168
"211",0.590368490725448
"212",0.0896509030035306
"213",2.23518067121923e-06
"214",0.0859549807894479
"215",0.435558644080267
"216",NA
"217",4.70374429776714e-14
"218",0.574840199527799
"219",0.00548729476951341
"220",4.44198014290072e-10
"221",0.435265234884341
"222",4.63471611904444e-18
"223",NA
"224",0.986672663416142
"225",0.661360222349391
"226",0.61105529733703
"227",0.986885710568391
"228",0.00556057671052583
"229",0.476987044652285
"230",0.320123682116646
"231",0.0821905470581386
"232",0.142878910785815
"233",NA
"234",0.000176017358554949
"235",4.59714813666587e-06
"236",0.216973162964841
"237",3.31615148148136e-19
"238",0.111458739480227
"239",0.0599430613953405
"240",0.0164384247219561
"241",0.118454596759919
"242",NA
"243",8.67529368923148e-15
"244",2.31689176570776e-15
"245",0.0091636972791311
"246",0.483428648637796
"247",0.723426566449996
"248",0.130489530343481
"249",4.92356827950069e-14
"250",0.597781171322169
"251",NA
"252",0.00706852969218392
"253",0.000118983334345218
"254",0.100588177046415
"255",0.200671344394659
"256",0.851705681085467
"257",3.95819599201775e-174
"258",0.0198805942484261
"259",0.0739883973327199
"260",0.181152008187318
"261",0.013933044689395
"262",0.784512856582103
"263",0.00201165656630336
"264",0.000352744097537185
"265",NA
"266",0.00391271495086516
"267",0.0198346139668897
"268",0.181737557436179
"269",0.571473028376498
"270",1.41603094334063e-08
"271",NA
"272",1.7356322705935e-08
"273",0.00848823707145819
"274",0.0229559825563533
"275",0.0338215944016654
"276",NA
"277",0.199587302779168
"278",0.242970565427025
"279",NA
"280",0.121547918481587
"281",0.000159615211862773
"282",NA
"283",0.134117757408697
"284",0.126135978658176
"285",NA
"286",0.00738400354756756
"287",0.791468810480974
"288",0.0867373716689201
"289",0.653740690918116
"290",0.00282161367790785
"291",3.48177018676336e-09
"292",0.67420069622622
"293",0.000214418851082185
"294",0.228063197496203
"295",0.00373969028164658
"296",0.257021339132742
"297",0.931394218611538
"298",0.247636715318541
"299",0.00820545767156365
"300",0.776649605805418
"301",0.705629238676907
"302",0.301769129986158
"303",0.03780480905844
"304",0.0380492397885506
"305",0.0363152370812949
"306",0.0938204202441893
"307",0.510333354031513
"308",0.0131125351510279
"309",0.657435561743291
"310",6.00804263158873e-09
"311",NA
"312",0.419281875342979
"313",0.489647457974622
"314",0.447259584248606
"315",0.11325245046363
"316",0.756229016378437
"317",0.614268850429577
"318",0.113331461976519
"319",0.611265138615357
"320",7.77700964887868e-19
"321",0.851705681085467
"322",0.514072266637561
"323",6.21785725195668e-18
"324",0.0719378068705443
"325",1.15257090472901e-05
"326",0.263334018637746
"327",4.35195772665734e-27
"328",0.0439181244411062
"329",0.278453133908689
"330",0.465753306042806
"331",0.591826942712445
"332",4.10146474648912e-05
"333",0.693021302178802
"334",0.814934558831457
"335",0.0166726247848035
"336",0.0032350301954697
"337",0.00274794016921991
"338",5.80640735507239e-06
"339",1.98319735289512e-12
"340",0.676350842157392
"341",0.400412141166532
"342",0.839740018526114
"343",1.0707488130604e-06
"344",0.136056334439832
"345",NA
"346",0.622065393478701
"347",0.0887637416118855
"348",0.00601284865552788
"349",4.85034288856036e-20
"350",0.224685025357453
"351",0.196986935876578
"352",4.25184212524665e-11
"353",0.710720141261
"354",0.212304666167617
"355",6.26586669197405e-24
"356",0.430740915273895
"357",9.41675257767003e-06
"358",0.0257197225735144
"359",0.00304027344706504
"360",0.000425252861553547
"361",0.99319112742371
"362",1.11351738831355e-07
"363",0.852194699595144
"364",0.399717149823692
"365",0.98026203477135
"366",0.0661521828002475
"367",0.0244332784103342
"368",0.0855996761495137
"369",0.604042690466843
"370",0.00456019924097192
"371",0.475677438797819
"372",0.000242190619247331
"373",3.91723778942473e-06
"374",0.137550430006206
"375",0.00418644001890353
"376",0.135221262262984
"377",0.812918305027235
"378",5.5539355753395e-05
"379",0.471958080925084
"380",5.92821663569663e-23
"381",0.0410405251287022
"382",0.521298655970922
"383",0.396704410632707
"384",0.382082903266194
"385",0.0609376515918027
"386",0.0367900701580319
"387",0.0797156252710445
"388",0.860602791407692
"389",0.851649681762985
"390",0.00345923593357426
"391",5.63180934332395e-05
"392",0.0219309680075981
"393",0.00196748764521612
"394",0.95174999834514
"395",4.02681911626511e-05
"396",0.39181585772908
"397",0.00201304127924316
"398",0.134471568769579
"399",0.760072126964638
"400",NA
"401",0.0244649386865472
"402",8.363247817375e-120
"403",0.441721371257807
"404",0.391536159770954
"405",2.65669252547782e-08
"406",1.70530891453761e-06
"407",0.117153438635248
"408",0.000151327555278088
"409",0.352855290876496
"410",0.739874152861905
"411",0.853639987306382
"412",0.292942861441625
"413",0.000716967845920364
"414",0.882214959442695
"415",0.209627735177176
"416",0.192032779023646
"417",3.11361252005211e-05
"418",0.95908464538268
"419",0.149066328703325
"420",0.0197997974826907
"421",0.0510728945435356
"422",0.121504907605732
"423",0.568926348754977
"424",0.859927413290025
"425",0.00163628610936155
"426",0.291996950469893
"427",0.978616849497839
"428",0.201791605725323
"429",0.107117442171253
"430",0.0101566123361989
"431",0.295804942461524
"432",NA
"433",7.93916407163308e-16
"434",4.13105235628593e-06
"435",0.588716400209535
"436",5.66141966570093e-14
"437",0.356085956116952
"438",0.622723914352224
"439",3.66932595048246e-33
"440",0.114393406366562
"441",0.00653892020424523
"442",NA
"443",4.51845296501163e-06
"444",0.33530299850783
"445",0.0972752104346935
"446",0.733911623160462
"447",0.597781171322169
"448",0.940425871190177
"449",0.760158462440635
"450",0.968982412011312
"451",0.00010716506055455
"452",0.320666806283261
"453",NA
"454",0.0008775232998317
"455",1
"456",0.629247324086929
"457",0.000461744342639595
"458",0.638515038150232
"459",0.374172778918747
"460",NA
"461",0.0215876711107055
"462",3.78560351466729e-08
"463",5.0146528550199e-23
"464",1.33793960687541e-25
"465",NA
"466",0.109440076006935
"467",0.971561554582413
"468",0.941160307243586
"469",NA
"470",0.153019758033036
"471",0.0914039701986202
"472",0.682698289690862
"473",0.0036517144048901
"474",NA
"475",1.6998613850119e-07
"476",0.0347002827913771
"477",0.757049748871469
"478",4.61794300590653e-09
"479",NA
"480",1.97047620491157e-12
"481",0.556813884287512
"482",0.286629257328773
"483",0.270346744488171
"484",3.53451735747564e-12
"485",2.809411803407e-07
"486",0.00911668597037205
"487",0.102672111687157
"488",0.0769400324195298
"489",0.85303517628003
"490",NA
"491",0.471654046855642
"492",0.75453274269865
"493",0.940858315190616
"494",1.54563407664208e-08
"495",0.00936623586941836
"496",0.91165162565878
"497",1.5405338238278e-11
"498",0.0299365813075144
"499",3.3755522465464e-15
"500",0.617516426340386
"501",0.170799282829229
"502",0.00155902494848654
"503",0.164452416554297
"504",0.0130417680861699
"505",5.79793720060293e-05
"506",0.847545708239498
"507",0.932310767901167
"508",0.00267500599703881
"509",0.218675238724377
"510",0.939153352777558
"511",0.595991408847033
"512",0.474834133749043
"513",NA
"514",0.53894725218558
"515",7.36161410150375e-07
"516",1.76159190927638e-10
"517",NA
"518",0.0922314588578339
"519",0.260032593531853
"520",0.424366186848662
"521",0.0388261588104107
"522",0.662268233475243
"523",0.0191130673711864
"524",4.23835008916387e-41
"525",NA
"526",0.234996343895965
"527",0.281205284580706
"528",0.249923532369276
"529",0.00928022053431465
"530",0.00180571788398304
"531",1.55881072152129e-07
"532",0.245130099985991
"533",0.00512888990759197
"534",7.88284687384098e-18
"535",0.161253839846357
"536",NA
"537",0.79034400290409
"538",0.538224110968809
"539",0.000218507092410666
"540",0.000202152273098495
"541",1.32328666164538e-09
"542",1.68862289448548e-08
"543",0.325372421180089
"544",0.642490844632822
"545",0.0399735473664646
"546",0.178931768196964
"547",4.32054764846471e-06
"548",0.0323282870128508
"549",0.943576100151929
"550",0.753067751358308
"551",0.000190460438223979
"552",0.0263386194238941
"553",0.00587469728181692
"554",0.405125214791906
"555",0.0114652202803685
"556",5.86605388307247e-05
"557",0.0302689180597414
"558",0.0197965641977244
"559",9.13935651440135e-06
"560",0.0787842764016977
"561",0.53466017668438
"562",0.219645972760099
"563",0.911409718896127
"564",0.979875078681972
"565",0.858144624782138
"566",0.000580047624249599
"567",0.00802391705586206
"568",0.00387201751737524
"569",0.322560429122955
"570",NA
"571",1.45856319932411e-11
"572",0.000425389192643436
"573",0.188721258852119
"574",NA
"575",NA
"576",0.487568292009755
"577",0.043795567528336
"578",0.121557226809614
"579",0.708900966897041
"580",0.975039385645814
"581",0.557346158113196
"582",0.0939314175091195
"583",5.91089371900503e-25
"584",0.438004632257538
"585",5.05584594497755e-07
"586",0.144651579604101
"587",0.326532412686989
"588",0.121798714999162
"589",NA
"590",1.2908366662942e-10
"591",0.0792106749609221
"592",0.415726130707533
"593",2.32328939303969e-09
"594",1.1882956390204e-24
"595",1.32547179005914e-08
"596",1.46079500340024e-17
"597",0.000400842514517371
"598",NA
"599",0.000567570286693003
"600",0.000569989957445492
"601",0.776542264679168
"602",0.361288540028878
"603",3.09573168139381e-07
"604",0.0702047938887537
"605",0.0284217263929612
"606",6.90393661399245e-11
"607",0.53122526985399
"608",0.0984132825487665
"609",1.84351142551829e-09
"610",0.141941212913246
"611",0.290232599800293
"612",0.0137889206680986
"613",0.737497787749974
"614",0.461960554953499
"615",NA
"616",0.720885030296387
"617",0.527553896097714
"618",0.625040256413195
"619",0.0863409929840687
"620",0.00623767710593472
"621",NA
"622",0.431463103390203
"623",0.25528378528669
"624",3.38003684449257e-06
"625",NA
"626",0.620849908289707
"627",0.000378988800793533
"628",0.00536418895223007
"629",0.331150640460936
"630",0.128067319859734
"631",NA
"632",0.0251069710488998
