,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
ENSG00000203780,3.88138051,4.039454322,3.94682829,2.955295439,4.835965765,3.822535515,3.959250725,2.997275292,3.958674123,3.178389283,2.098230127,5.166564123
ENSG00000203783,4.851725638,4.039454322,4.933535363,3.940393919,5.803158919,4.778169394,0.989812681,2.997275292,0.989668531,3.178389283,4.196460254,5.166564123
ENSG00000203791,3.88138051,4.039454322,2.960121218,3.940393919,3.868772612,3.822535515,2.969438044,2.997275292,4.948342654,3.178389283,5.245575317,4.133251299
ENSG00000203797,0,1.009863581,0,0,0,0.955633879,0,0.999091764,0.989668531,1.059463094,0,1.033312825
ENSG00000203804,0.970345128,1.009863581,0.986707073,0.98509848,0.967193153,1.911267758,0.989812681,0,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203805,0.970345128,2.019727161,0.986707073,1.970196959,0.967193153,0.955633879,0.989812681,1.998183528,0.989668531,0,1.049115063,0
ENSG00000203814,0.970345128,1.009863581,0.986707073,0.98509848,0,0.955633879,0,0,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203857,151.3738399,155.5189914,153.9263033,132.0031963,132.505462,138.5669124,130.6552739,140.8719387,140.5329314,85.81651064,79.73274482,77.49846185
ENSG00000203859,2.911035383,3.029590742,2.960121218,4.925492398,2.901579459,3.822535515,3.959250725,3.996367056,2.969005592,4.237852377,4.196460254,3.099938474
ENSG00000203865,0.970345128,1.009863581,0.986707073,0.98509848,0.967193153,0.955633879,0.989812681,0.999091764,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203867,0.970345128,1.009863581,0.986707073,0.98509848,0.967193153,0.955633879,0.989812681,0.999091764,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203872,0.970345128,1.009863581,1.973414145,0.98509848,0.967193153,1.911267758,0.989812681,1.998183528,0.989668531,1.059463094,2.098230127,1.033312825
ENSG00000203875,34.93242459,36.3550889,34.53474754,35.46354527,38.68772612,33.44718576,36.6230692,37.96548703,37.60740417,44.49744996,40.91548747,41.33251299
